State,Scheduled Employment,Category,Category Detail,Zone,Effective From,Notification Date,Daily Rate (₹),Monthly Rate (₹),PDF URL,Notes
Karnataka,Employment in shops and commercial Establishments,Office staff and Drivers,Servant/Watchman/Lift Operator/Office Boy/Attender/Helper/Dalayat/Mazdur/Sweeper (and equivalent),Zone 1,2025-04-01,NaT,603.91,15701.43,,
Karnataka,Employment in shops and commercial Establishments,Office staff and Drivers,Servant/Watchman/Lift Operator/Office Boy/Attender/Helper/Dalayat/Mazdur/Sweeper (and equivalent),Zone 2,2025-04-01,NaT,582.68,15149.63,,
Karnataka,Employment in shops and commercial Establishments,Office staff and Drivers,Servant/Watchman/Lift Operator/Office Boy/Attender/Helper/Dalayat/Mazdur/Sweeper (and equivalent),Zone 3,2025-04-01,NaT,562.47,14624.1,,
Karnataka,Employment in shops and commercial Establishments,Office staff and Drivers,Servant/Watchman/Lift Operator/Office Boy/Attender/Helper/Dalayat/Mazdur/Sweeper (and equivalent),Zone 4,2025-04-01,NaT,543.22,14123.6,,
Karnataka,Employment in shops and commercial Establishments,Office staff and Drivers,Heavy Vehicle/Tractor/Multi-Axle/Earth-mover/Crane/Road-roller/Construction-vehicle Drivers,Zone 1,2025-04-01,NaT,697.5,18134.87,,
Karnataka,Employment in shops and commercial Establishments,Office staff and Drivers,Heavy Vehicle/Tractor/Multi-Axle/Earth-mover/Crane/Road-roller/Construction-vehicle Drivers,Zone 2,2025-04-01,NaT,671.82,17467.19,,
Karnataka,Employment in shops and commercial Establishments,Office staff and Drivers,Heavy Vehicle/Tractor/Multi-Axle/Earth-mover/Crane/Road-roller/Construction-vehicle Drivers,Zone 3,2025-04-01,NaT,647.36,16831.31,,
Karnataka,Employment in shops and commercial Establishments,Office staff and Drivers,Heavy Vehicle/Tractor/Multi-Axle/Earth-mover/Crane/Road-roller/Construction-vehicle Drivers,Zone 4,2025-04-01,NaT,624.07,16225.7,,
Karnataka,Employment in shops and commercial Establishments,Office staff and Drivers,Car/Jeep/Light-vehicle Drivers,Zone 1,2025-04-01,NaT,648.47,16860.21,,
Karnataka,Employment in shops and commercial Establishments,Office staff and Drivers,Car/Jeep/Light-vehicle Drivers,Zone 2,2025-04-01,NaT,625.13,16253.23,,
Karnataka,Employment in shops and commercial Establishments,Office staff and Drivers,Car/Jeep/Light-vehicle Drivers,Zone 3,2025-04-01,NaT,602.9,15675.15,,
Karnataka,Employment in shops and commercial Establishments,Office staff and Drivers,Car/Jeep/Light-vehicle Drivers,Zone 4,2025-04-01,NaT,581.72,15124.6,,
Karnataka,Employment in shops and commercial Establishments,Office staff and Drivers,Tum-tum/Three-wheeler Drivers,Zone 1,2025-04-01,NaT,603.91,15701.43,,
Karnataka,Employment in shops and commercial Establishments,Office staff and Drivers,Tum-tum/Three-wheeler Drivers,Zone 2,2025-04-01,NaT,582.68,15149.63,,
Karnataka,Employment in shops and commercial Establishments,Office staff and Drivers,Tum-tum/Three-wheeler Drivers,Zone 3,2025-04-01,NaT,562.47,14624.1,,
Karnataka,Employment in shops and commercial Establishments,Office staff and Drivers,Tum-tum/Three-wheeler Drivers,Zone 4,2025-04-01,NaT,543.22,14123.6,,
Karnataka,Employment in Biscuit Manufacturing Establishments,Semi-Skilled,helpers and other semiskilled works,Zone 1,2025-04-01,NaT,603.91,15701.43,,
Karnataka,Employment in Biscuit Manufacturing Establishments,Semi-Skilled,helpers and other semiskilled works,Zone 2,2025-04-01,NaT,582.68,15149.63,,
Karnataka,Employment in Biscuit Manufacturing Establishments,Semi-Skilled,helpers and other semiskilled works,Zone 3,2025-04-01,NaT,562.47,14624.1,,
Karnataka,Employment in Biscuit Manufacturing Establishments,Semi-Skilled,helpers and other semiskilled works,Zone 4,2025-04-01,NaT,543.22,14123.6,,
Karnataka,Employment in Biscuit Manufacturing Establishments,Skilled,"Biscuit makers,packer Other skilled work",Zone 1,2025-04-01,NaT,648.47,16860.21,,
Karnataka,Employment in Biscuit Manufacturing Establishments,Skilled,"Biscuit makers,packer Other skilled work",Zone 2,2025-04-01,NaT,625.13,16253.23,,
Karnataka,Employment in Biscuit Manufacturing Establishments,Skilled,"Biscuit makers,packer Other skilled work",Zone 3,2025-04-01,NaT,602.9,15675.15,,
Karnataka,Employment in Biscuit Manufacturing Establishments,Skilled,"Biscuit makers,packer Other skilled work",Zone 4,2025-04-01,NaT,581.72,15124.6,,
